Query Type,English,Arabic
ORDER PLACED WITHIN 10 MINS,"It is expected to be delivered within ** minutes from the time of order placement. You can also track the live movement of the delivery associate in the app by clicking on ""Track Order.""","من المتوقع أن يتم تسليمه خلال ** دقيقة من وقت تقديم الطلب. يمكنك أيضًا تتبع حركة مندوب التوصيل مباشرة من خلال التطبيق عبر النقر على ""تتبع الطلب""."
"PLACED NOT ACCEPTED (AFTER 10 MINS)

IF, EDT Has Passed Already, Avoid Sharing Delivery & Processing times","Yes, your order has been successfully placed. It is now being processed by the store and will be delivered to your address as soon as it’s shipped.",نعم، تم تقديم طلبك بنجاح ويجري معالجته حاليًا من قبل المتجر. سيتم توصيله إلى عنوانك بمجرد شحنه.
"PLACED NOT ACCEPTED (AFTER 10 MINS)

IF, EDT Has Passed Already, Avoid Sharing Delivery & Processing times","I see a delay in the store accepting your order, and I’m really sorry about that. I’m escalating this to the Order Management Team to speed up the process, and it should be resolved within a few minutes.

Your order's expected delivery time is ** minutes, including ** minutes for store processing and ** minutes for delivery post the order is shipped.

Meanwhile, you can track the live movement of the delivery associate in the app by clicking on ""Track Order.""","أرى أن هناك تأخيرًا في قبول المتجر لطلبك، وأعتذر بشدة عن ذلك. لقد قمت بتصعيد الأمر إلى فريق إدارة الطلبات لتسريع العملية، ومن المتوقع حله خلال بضع دقائق. الوقت المتوقع لتسليم طلبك هو ** دقيقة، ويشمل ** دقيقة لمعالجة الطلب في المتجر و ** دقيقة للتوصيل بعد شحن الطلب.
 في هذه الأثناء، يمكنك تتبع حركة مندوب التوصيل مباشرة من داخل التطبيق عبر النقر على ""تتبع الطلب""."
ACCEPTED (WITHIN EDT),"I’ve checked, and your order has been successfully accepted. The store is now processing it, and once it’s shipped, it will be delivered to your address as soon as possible.

Please also note that the delivery is expected within ** minutes from the time the order was placed. You can track the live location of the delivery associate in the app by clicking on “Track Order.”","""لقد تحققت، وتم قبول طلبك بنجاح. المتجر يقوم الآن بمعالجته، وبمجرد شحنه، سيتم توصيله إلى عنوانك في أقرب وقت ممكن.
يرجى ملاحظة أن التوصيل متوقع خلال ** دقيقة من وقت تقديم الطلب. يمكنك تتبع الموقع المباشر لمندوب التوصيل داخل التطبيق عن طريق النقر على """"تتبع الطلب."""""""
"ACCEPTED NOT PROCESSED (AFTER 12 / 20 MINS)

IF, EDT has Passed Already, Avoid Sharing Delivery and Processing times","I've checked, and your order has been successfully accepted. The store is processing it, and once shipped, it will be delivered to your address as soon as possible.","لقد تحققت، وتم قبول طلبك بنجاح. يقوم المتجر الآن بمعالجته، وبمجرد شحنه، سيتم توصيله إلى عنوانك في أسرع وقت ممكن.
"
"ACCEPTED NOT PROCESSED (AFTER 12 / 20 MINS)

IF, EDT has Passed Already, Avoid Sharing Delivery and Processing times","However, I see a delay in processing your order. I’m sorry about that. I’ve forwarded this to the Order Management Team, and they’ll expedite it.","ومع ذلك، أرى تأخيرًا في معالجة طلبك، وأعتذر عن ذلك. لقد قمت برفع الأمر إلى فريق إدارة الطلبات، وسيعملون على تسريعه.
"
"ACCEPTED NOT PROCESSED (AFTER 12 / 20 MINS)

IF, EDT has Passed Already, Avoid Sharing Delivery and Processing times","Rest assured, the issue will be resolved as soon as possible. You can also track the live movement of the delivery associate in the app by clicking on ""Track Order.""","لا داعي للقلق، سيتم حل المشكلة في أقرب وقت ممكن. يمكنك أيضًا تتبع الحركة المباشرة لمندوب التوصيل في التطبيق من خلال النقر على ""تتبع الطلب"".
"
READY TO PACK (WITHIN EDT),"Your order is currently being processed and will be shipped soon. It is expected to be delivered within ** minutes from the time you placed the order.

You can also track the live movement of the delivery associate in the app by clicking on ""Track Order.""","طلبك قيد المعالجة حاليًا وسيتم شحنه قريبًا. من المتوقع توصيله خلال ** دقيقة من وقت تقديم الطلب.
يمكنك أيضًا تتبع الموقع المباشر لمندوب التوصيل داخل التطبيق عن طريق النقر على """"تتبع الطلب.""""""
"
READY TO PACK (AFTER 15 / 30 MINUTES) PROCESSING NOT SHIPPED COMPLAINT WILL BE RAISED,I’m really sorry for the inconvenience. Your order is currently being processed.,"أعتذر عن أي إزعاج. طلبك قيد المعالجة حاليًا.
"
READY TO PACK (AFTER 15 / 30 MINUTES) PROCESSING NOT SHIPPED COMPLAINT WILL BE RAISED,"The expected delivery time for your order was ** minutes, with the store taking ** minutes to process it and the remaining ** minutes for delivery.

I’m really sorry for the delay. I’ve escalated this to the appropriate team to speed things up, and they’ll update you as soon as possible. Your order will be delivered shortly.","كان من المتوقع توصيل طلبك خلال ** دقيقة، حيث استغرقت المتجر ** دقيقة لمعالجته، بينما تستغرق عملية التوصيل ** دقيقة.
أنا أعتذر عن التأخير. لقد قمت بتصعيد الأمر إلى الفريق المختص لتسريع العملية، وسيتم تزويدك بتحديث في أقرب وقت ممكن. سيتم توصيل طلبك قريبًا."
"DELAY IN SHIPPING -  DELIVERY TYPE - SELF DELIVERY

ALSO, LIVE TRACKING WILL NOT BE AVAILABLE","I truly apologize for the inconvenience that might have caused you. I've escalated this issue to the concerned team to speed up the shipment process. Rest assured, we will use best possible resources to resolve it as faster as we can.",أعتذر عن أي إزعاج قد يكون سببه ذلك. لقد قمت بتصعيد المشكلة إلى الفريق المختص لتسريع عملية الشحن. كن مطمئنًا، سنبذل قصارى جهدنا ونستخدم أفضل الموارد الممكنة لحلها بأسرع وقت ممكن.
"DELAY IN SHIPPING -  DELIVERY TYPE - SELF DELIVERY

ALSO, LIVE TRACKING WILL NOT BE AVAILABLE",Please note that real-time tracking in the app is not available when the order is delivered by the store’s own rider. Your cooperation on this is highly appreciated.,"يرجى ملاحظة أن التتبع المباشر في التطبيق غير متاح عندما يتم التوصيل من خلال مندوب المتجر نفسه. نقدر تعاونك وتفهمك.
"
"Order Shipped  - Within ETD 

REMOVE "" Delivery Associate's & Real-Time Tracking Info "" If, being delivered by ""SELF DELIVERY"" 

If, being delivered by ""NOWNOW"", Share the info As it is...
","I’ve checked your order, and I’m happy to confirm that it has been shipped. You can expect delivery within ** minutes from the time the order was placed.

Usually, it takes ** minutes for the store to process the order before shipping, and once shipped, the rider will do their best to deliver it to you within ** minutes.","لقد قمت بالتحقق من طلبك، ويسعدني أن أؤكد أنه قد تم شحنه. يمكنك توقع استلامه خلال ** دقيقة من وقت تقديم الطلب.
عادةً، يستغرق المتجر ** دقيقة لمعالجة الطلب قبل الشحن، وبمجرد شحنه، سيبذل السائق قصارى جهده لتوصيله إليك خلال ** دقيقة."
"Order Shipped  - Within ETD 

REMOVE "" Delivery Associate's & Real-Time Tracking Info "" If, being delivered by ""SELF DELIVERY"" 

If, being delivered by ""NOWNOW"", Share the info As it is...
","For your convenience, you’ll receive a notification in the app with the delivery associate’s contact details.

You can also track their real-time location by tapping “Track Order” in the app, giving you full visibility and the option to coordinate directly if needed.","لراحتك، ستتلقى إشعارًا في التطبيق يحتوي على تفاصيل الاتصال الخاصة بمندوب التوصيل.
يمكنك أيضًا تتبع موقعه المباشر من خلال النقر على 'تتبع الطلب' في التطبيق، مما يمنحك رؤية كاملة وخيار التنسيق المباشر عند الحاجة."
"Order Shipped  - Within ETD 

REMOVE "" Delivery Associate's & Real-Time Tracking Info "" If, being delivered by ""SELF DELIVERY"" 

If, being delivered by ""NOWNOW"", Share the info As it is...
",I hope this helps! Let me know if there’s anything else I can assist you with.,"آمل أن يكون هذا مفيدًا! أخبرني إذا كان هناك أي شيء آخر يمكنني مساعدتك به.
"
SHIPPED NOT DELIVERED - DELIVERY TYPE - NOWNOW ,"I’ve checked your order 'XXXX' and can confirm that it has been shipped. However, there’s a slight delay in the final delivery.

I’m really sorry for the inconvenience this has caused. I’ve escalated this to the concerned team, and you’ll receive an update via email within the next 5–10 minutes.

In the meantime, you can check the latest status of your order by going to the ‘Orders’ tab in the app.","لقد تحققت من طلبك '.....' ويمكنني تأكيد أنه قد تم شحنه. ومع ذلك، هناك تأخير بسيط في التوصيل النهائي.
أنا آسف جدًا على الإزعاج الذي سببه لك ذلك. لقد قمت بتصعيد الأمر إلى الفريق المختص، وستتلقى تحديثًا عبر البريد الإلكتروني خلال 5-10 دقائق القادمة.
في هذه الأثناء، يمكنك التحقق من أحدث حالة لطلبك من خلال الانتقال إلى علامة التبويب 'الطلبات' في التطبيق."
INCORRECT STATUS UPDATE BY DELIVERY AGENT (DA) - UAE,Could you please check your doorstep for any NowNow shipment or ask your family members or maid if they’ve received it?,"يرجى التحقق من باب منزلك لأي شحنة من ناو ناو، أو الاستفسار من أفراد عائلتك أو المساعدة المنزلية لمعرفة ما إذا كانوا قد استلموها.
"
INCORRECT STATUS UPDATE BY DELIVERY AGENT (DA) - UAE,"I've escalated this issue to the relevant support team for necessary action. They will get back to you via email within 30-60 minutes, and the complete resolution may take up to 1-2 hours. Let me know if you need any further assistance!","لقد قمت بتصعيد هذه المشكلة إلى فريق الدعم المختص لاتخاذ الإجراءات اللازمة. سيتواصلون معك عبر البريد الإلكتروني خلال 30 إلى 60 دقيقة، وقد يستغرق الحل الكامل من ساعة إلى ساعتين.
إذا كنت بحاجة إلى أي مساعدة إضافية، لا تتردد في إخباري!"
INCORRECT STATUS UPDATED BY DELIVERY AGENT (DA) - KSA,"Please check your doorstep for any NowNow delivery, and kindly check with your family members or household staff in case they’ve received it for you.","يرجى التحقق من باب منزلك لمعرفة ما إذا تم تسليم طلبك من ناو ناو، كما يُرجى الاستفسار من أفراد أسرتك أو العاملين في المنزل في حال استلموه بالنيابة عنك.
"
INCORRECT STATUS UPDATED BY DELIVERY AGENT (DA) - KSA,"I’ve escalated this issue to our Fleet team for further action. They will reach out to you via email within 30-60 minutes with the latest update, and the complete resolution may take up to 1 to 2 hours.",لقد قمت بتصعيد هذه المشكلة إلى فريق التوصيل لاتخاذ الإجراءات اللازمة. سيتواصلون معك عبر البريد الإلكتروني خلال 30 إلى 60 دقيقة لتزويدك بآخر التحديثات، وقد يستغرق الحل الكامل ما بين ساعة إلى ساعتين.
OUT OF STOCK & NO REPLACEMENT WAS AVAILABLE,"I'm really sorry that the item '****'** was canceled due to being out of stock, and no replacement was available.

If an alternative was available, the store would have offered a replacement. Please note that we only charge for items that are shipped and delivered. For out-of-stock items, no charges are applied to your card or wallet.

Regarding refunds for canceled items, our payment process authorizes the amount at the time of order placement but only captures the payment after the approval stage. Let me know if you need any further assistance!","أنا آسف جدًا لأن المنتج '****'** قد تم إلغاؤه بسبب نفاده من المخزون، ولم يكن هناك بديل متاح.
إذا كان هناك بديل متوفر، لكان المتجر قد عرض عليك استبداله. يرجى ملاحظة أننا نفرض رسومًا فقط على المنتجات التي يتم شحنها وتسليمها. بالنسبة للعناصر غير المتوفرة، لن يتم خصم أي مبلغ من بطاقتك أو محفظتك.
فيما يتعلق باسترداد المبلغ للعناصر الملغاة، فإن عملية الدفع لدينا تقوم فك الحظر المبلغ عند تقديم الطلب ولكن لا يتم خصمه فعليًا إلا بعد مرحلة الموافقة.
أخبرني إذا كنت بحاجة إلى أي مساعدة أخرى!"
ORDER ON HOLD - STORE HAS OFFERED A REPLACEMENT,"I've checked your order details, and the store has offered a replacement for some items that are out of stock.

You can review this in the app by going to the Orders section:

- Click on Order Details
- On the next screen, select Review Changes in Your Order
- You'll see all items listed, and at the bottom right, you’ll find options to Accept or Cancel the replacement.

This option will be disabled after 10 minutes if no action is taken, and the item will be canceled as out of stock.

Please note that replacements can only be accepted or rejected from your end. Let me know if you need any help!","لقد راجعت تفاصيل طلبك، وقد قام المتجر بعرض استبدال لبعض العناصر غير المتوفرة في المخزون.

يمكنك مراجعة ذلك في التطبيق من خلال قسم الطلبات:

اضغط على تفاصيل الطلب
في الشاشة التالية، اختر مراجعة التعديلات على طلبك
ستظهر لك جميع العناصر، وفي أسفل اليمين ستجد خيارين: قبول أو إلغاء الاستبدال
يرجى ملاحظة أن هذا الخيار سيكون متاحًا لمدة 10 دقائق فقط، وبعد ذلك سيتم إلغاء العنصر باعتباره غير متوفر.

يمكن قبول أو رفض الاستبدال من جانبك فقط. أخبرني إذا كنت بحاجة إلى أي مساعدة!"
OUT OF STOCK AND REPLACEMENT WAS OFFERED BUT NO ACTION,"I sincerely apologize for the inconvenience. Unfortunately, the item '****'** was out of stock, and we had to cancel it. A replacement was offered, but since we didn’t receive a response within the 10-minute timeframe, we had to proceed with the cancellation.

Please note that no charges were applied for the canceled item, as we only charge after the approval stage for items that are shipped and delivered. I appreciate your understanding!","أعتذر عن الإزعاج. للأسف، كان العنصر '____' غير متوفر في المخزون، واضطررنا إلى إلغائه. تم عرض استبدال، ولكن نظرًا لعدم تلقي أي رد خلال المهلة الزمنية البالغة 10 دقائق، اضطررنا إلى المضي قدمًا في الإلغاء.
يرجى ملاحظة أنه لم يتم فرض أي رسوم على العنصر الملغى، حيث نقوم فقط بخصم المبلغ بعد مرحلة الموافقة للعناصر التي يتم شحنها وتسليمها.
أقدّر تفهمك!"
OUT OF STOCK - Replacement offered to CX but CX rejected the replacement within timeframe.,"As checked in your order details, some of the items were unfortunately out of stock at the store.

To proceed, the store suggested the most suitable replacements for your review. Since the replacements didn’t meet your requirements, you chose to cancel those items. 

If you’d still like to receive the canceled item(s), feel free to place a new order from another store and let us know—we’ll take it forward with the concerned team and do our best to fulfill your order.","حسب تفاصيل طلبك، تبيّن أن بعض المنتجات كانت غير متوفرة في المتجر بسبب نفاد المخزون.

ولتتم متابعة الطلب، قام المتجر باقتراح بدائل مناسبة لمراجعتك. وبما أن هذه البدائل لم تكن مطابقة لمتطلباتك، قمت بإلغاء تلك العناصر.

إذا كنت لا تزال بحاجة إلى المنتجات التي تم إلغاؤها، يمكنك تقديم طلب جديد من متجر آخر وإبلاغنا، وسنقوم بمتابعة الأمر مع الفريق المختص وبذل قصارى جهدنا لتلبية طلبك."
ORDER REJECTED (COMPLETE ORDER CANCELED WITHOUT OOS ITEMS),"I'm really sorry to inform you that your order was canceled due to unforeseen issues at the store.

You can place a new order for the needed items from other stores on our app. Please note that no charges were applied for the canceled item, as we only charge after the approval stage for items that are shipped and delivered.

Let me know if I can assist you with anything else!","أنا آسف لإبلاغك بأن طلبك قد تم إلغاؤه بسبب مشاكل غير متوقعة في المتجر.
يمكنك تقديم طلب جديد للعناصر المطلوبة من متاجر أخرى عبر تطبيقنا. يرجى ملاحظة أنه لم يتم فرض أي رسوم على العنصر الملغى، حيث نقوم فقط بخصم المبلغ بعد مرحلة الموافقة للعناصر التي يتم شحنها وتسليمها.
أخبرني إذا كان بإمكاني مساعدتك في أي شيء آخر!"
Assurance 1. Delivery Delayed & Concern Already Escalated,"I completely understand how frustrating this delay must be for you, and I’m really sorry for the inconvenience.","أنا أتفهم تمامًا مدى إحباط هذا التأخير بالنسبة لك، وأنا أعتذر عن أي إزعاج تسبب به.
"
Assurance 1. Delivery Delayed & Concern Already Escalated,"Please be assured that we’re prioritizing your order and doing everything we can to get it to you as soon as possible. I truly appreciate your patience, and the team will do their best to deliver your shipment quickly.

Your satisfaction matters to us, and I’ll make sure we set this right for you.","يرجى الاطمئنان إلى أننا نعطي أولوية لطلبك ونبذل كل ما في وسعنا لتوصيله إليك في أسرع وقت ممكن. أقدر صبرك حقًا، وسيبذل الفريق قصارى جهده لضمان وصول شحنتك سريعًا.
رضاك يهمنا، وسأحرص على أن يتم تصحيح الأمر لك."
Assurance 2.  Delivery Delayed - Agent Highlighted To Supervisor/OMT/MS team for urgent attention,"I truly regret that we couldn’t meet your expectations this time. I understand how important this order is for you, and I really want to make things right.

While I can’t undo the delay, I assure you that our team is doing everything they can to resolve this quickly. I’m confident your order will be delivered soon and the issue will be sorted as soon as possible.","أنا أأسف لعدم تمكننا من تلبية توقعاتك هذه المرة. أفهم تمامًا مدى أهمية هذا الطلب لك، وأرغب حقًا في تصحيح الأمر.
 أؤكد لك أن فريقنا يبذل كل ما في وسعه لحل المشكلة سريعًا. أنا واثق من أن طلبك سيتم توصيله قريبًا، وسيتم حل الأمر في أقرب وقت ممكن."
Assurance 3. -  We take it as Feedback and hope to serve you better in the future,"I assure you we take this seriously and are already working on improving our processes to prevent such issues in the future.

I’ll also share your feedback with the team to help us do better. Your experience matters, and I truly appreciate the chance to make this right.","أؤكد لك أننا نأخذ هذا الأمر بجدية، ونعمل بالفعل على تحسين عملياتنا لمنع حدوث مثل هذه المشكلات في المستقبل.
سأشارك ملاحظاتك مع الفريق لمساعدتنا على التطوير. تجربتك تهمنا حقًا، وأنا أقدر لك إتاحة الفرصة لنا لتصحيح الأمر."
Why is the invoice showing a less / different amount?,"Please note that the invoice does not include the delivery fee or service fee applied to your order. Also, if a discount was used, the store invoice will show item prices before the discount is applied.

You can download the service fee and delivery fee invoice from the app on the Orders page.

I really appreciate your understanding.","يرجى ملاحظة أن الفاتورة لا تشمل رسوم التوصيل أو رسوم الخدمة المطبقة على طلبك. أيضًا، إذا تم استخدام خصم، فستعرض فاتورة المتجر أسعار العناصر قبل تطبيق الخصم.
يمكنك تحميل فاتورة رسوم الخدمة ورسوم التوصيل من صفحة ""الطلبات"" في التطبيق.
أقدر تفهمك كثيرًا."
Why Price Increased - 1 ,"Please note that, at times, stores may update an item’s price slightly higher or lower while shipping due to stock procurement, inventory resources, and availability. However, this happens rarely.

Our store partners always strive to list and sell items at the most competitive prices on the app. Let me know if you need any further assistance!","يرجى ملاحظة أنه في بعض الأحيان قد يقوم المتجر بتحديث سعر المنتج ليكون أعلى أو أقل قليلاً أثناء الشحن، وذلك بسبب عملية التوريد، توفر المخزون، وتكاليف الشراء. ومع ذلك، فإن هذا نادر الحدوث.
يعمل شركاؤنا في المتاجر دائمًا على تقديم الأسعار الأكثر تنافسية على التطبيق. أخبرني إذا كنت بحاجة إلى أي مساعدة إضافية!"
Why Price Increased - 2 ,"I understand your concern. The price has increased at the store due to updated supplier costs and market fluctuations. To maintain quality and service standards, this adjustment reflects current market conditions and ensures the continued availability of our products.

I sincerely apologize for any inconvenience and truly appreciate your patience and understanding.","أتفهم قلقك. لقد ارتفع السعر في المتجر بسبب التحديثات في تكاليف الموردين والتغيرات في السوق. للحفاظ على معايير الجودة والخدمة، يعكس هذا التعديل ظروف السوق الحالية ويضمن استمرار توفر منتجاتنا.
أعتذر عن أي إزعاج وأقدر صبرك وتفهمك."
Why Price Increased - 2 (b),"I completely understand your concern. However, price increases may occur due to recent cost adjustments from the supplier. While we do our best to provide accurate pricing in the app, occasional fluctuations can happen due to market variations.

Please rest assured that we strive to maintain competitive prices while ensuring product quality. We’re always working to provide you with the best shopping experience. I truly appreciate your patience and understanding!","أتفهم تمامًا قلقك. ومع ذلك، قد تحدث زيادات في الأسعار بسبب التعديلات الأخيرة في تكاليف الموردين. نحن نبذل قصارى جهدنا لتوفير أسعار دقيقة في التطبيق، ولكن قد تحدث تقلبات أحيانًا بسبب تغيرات السوق.
كن مطمئنًا، فنحن نحرص دائمًا على تقديم أسعار تنافسية مع ضمان جودة المنتجات. نحن نعمل باستمرار على تحسين تجربة التسوق الخاصة بك. أقدر صبرك وتفهمك!"
UPDATE FOR INTERNAL USE,This update is for internal use & and internal understanding >> CANCEL ORDER IN ACCEPTED STAGE,This update is for internal use & and internal understanding >> CANCEL ORDER IN ACCEPTED STAGE
UPDATE FOR INTERNAL USE,"Orders once placed via Noon.com App, are unable to be canceled when moved to the ""Accepted"" stage:","الطلبات التي يتم إجراؤها عبر تطبيق Noon.com لا يمكن إلغاؤها بمجرد انتقالها إلى مرحلة 'تم القبول'.
"
UPDATE FOR INTERNAL USE,"Orders placed via NowNow standalone App with ""Accepted"" stage, CXs can opt for self cancellation for their order from their NowNow account",الطلبات التي يتم إجراؤها عبر تطبيق NowNow المستقل والتي تكون في مرحلة 'تم القبول'، يمكن للعملاء إلغاؤها ذاتيًا من حسابهم على NowNow.
UPDATE FOR INTERNAL USE,"As it's a self-service option. Kindly click on 'Orders', then go to Track order"". You will find the option to cancel the order.","بما أن هذه ميزة ذاتية الخدمة، يُرجى النقر على 'الطلبات' ثم الانتقال إلى 'تتبع الطلب'. ستجد هناك خيار إلغاء الطلب.
"
UPDATE FOR INTERNAL USE,"If the CX asks to cancel his NowNow order which S/he has placed via Noon.com app, Please deny to the CX politely, Inform that your order is in the preparing stage hence, it can not be canceled.","If the CX asks to cancel his NowNow order which S/he has placed via Noon.com app, Please deny to the CX politely, Inform that your order is in the preparing stage hence, it can not be canceled."
UPDATE FOR INTERNAL USE,"Therefore, Raise ‘cancel order’ request only if a CX insists the Order for ACCEPTED staged and if it is placed on Noon APP and hence, make sure to check the Order Placed on which App before raising a ticket.","Therefore, Raise ‘cancel order’ request only if a CX insists the Order for ACCEPTED staged and if it is placed on Noon APP and hence, make sure to check the Order Placed on which App before raising a ticket."
"10 - Cancellation - CX WANTS TO CANCEL THE ORDER IN READY TO PACK STAGE

Internal Note: Inform the customer that the order is in the preparation stage and it cannot be canceled. 
",template,"Inform the customer that the order is in the preparation stage and it cannot be canceled. 
But If the customer still insists to Cancel - Update the CX about the discount part (if used any discount in order)"
